x, y, v_x, v_y
2578.13, 2432.24, 429.473, 378.239
2582.42, 2436.02, 429.375, 378.055
2586.71, 2439.8, 429.276, 377.87
2591.01, 2443.58, 429.178, 377.686
2595.3, 2447.35, 429.08, 377.501
2599.59, 2451.13, 428.982, 377.317
2603.88, 2454.9, 428.884, 377.132
2608.17, 2458.67, 428.786, 376.948
2612.46, 2462.44, 428.688, 376.764
2616.74, 2466.21, 428.59, 376.58
2621.03, 2469.98, 428.492, 376.396
2625.31, 2473.74, 428.395, 376.212
2629.6, 2477.5, 428.297, 376.028
2633.88, 2481.26, 428.199, 375.844
2638.16, 2485.02, 428.102, 375.66
2642.44, 2488.78, 428.004, 375.477
2646.72, 2492.53, 427.907, 375.293
2651, 2496.29, 427.809, 375.109
2655.28, 2500.04, 427.712, 374.926
2659.56, 2503.79, 427.615, 374.743
2663.83, 2507.53, 427.517, 374.559
2668.11, 2511.28, 427.42, 374.376
2672.38, 2515.02, 427.323, 374.193
2676.66, 2518.77, 427.226, 374.01
2680.93, 2522.51, 427.129, 373.827
2685.2, 2526.24, 427.032, 373.644
2689.47, 2529.98, 426.935, 373.461
2693.74, 2533.71, 426.838, 373.278
2698.01, 2537.45, 426.741, 373.095
2702.28, 2541.18, 426.644, 372.912
2706.54, 2544.91, 426.548, 372.73
2710.81, 2548.63, 426.451, 372.547
2715.07, 2552.36, 426.355, 372.365
2719.34, 2556.08, 426.258, 372.182
2723.6, 2559.81, 426.162, 372
2727.86, 2563.53, 426.065, 371.818
2732.12, 2567.24, 425.969, 371.636
2736.38, 2570.96, 425.872, 371.453
2740.64, 2574.67, 425.776, 371.271
2744.9, 2578.39, 425.68, 371.089
2749.15, 2582.1, 425.584, 370.907
2753.41, 2585.81, 425.488, 370.726
2757.66, 2589.51, 425.392, 370.544
2761.92, 2593.22, 425.296, 370.362
2766.17, 2596.92, 425.2, 370.18
2770.42, 2600.63, 425.104, 369.999
2774.67, 2604.33, 425.008, 369.817
2778.92, 2608.02, 424.912, 369.636
2783.17, 2611.72, 424.816, 369.455
2787.42, 2615.41, 424.721, 369.273
2791.67, 2619.11, 424.625, 369.092
2795.92, 2622.8, 424.53, 368.911
2800.16, 2626.49, 424.434, 368.73
2804.4, 2630.17, 424.339, 368.549
2808.65, 2633.86, 424.243, 368.368
2812.89, 2637.54, 424.148, 368.187
2817.13, 2641.23, 424.053, 368.006
2821.37, 2644.91, 423.957, 367.825
2825.61, 2648.58, 423.862, 367.645
2829.85, 2652.26, 423.767, 367.464
2834.09, 2655.94, 423.672, 367.284
2838.33, 2659.61, 423.577, 367.103
2842.56, 2663.28, 423.482, 366.923
2846.8, 2666.95, 423.387, 366.742
2851.03, 2670.62, 423.292, 366.562
2855.26, 2674.28, 423.197, 366.382
2859.49, 2677.95, 423.103, 366.202
2863.73, 2681.61, 423.008, 366.022
2867.96, 2685.27, 422.913, 365.842
2872.18, 2688.93, 422.819, 365.662
2876.41, 2692.58, 422.724, 365.482
2880.64, 2696.24, 422.63, 365.302
2884.87, 2699.89, 422.535, 365.122
2889.09, 2703.54, 422.441, 364.943
2893.32, 2707.19, 422.347, 364.763
2897.54, 2710.84, 422.252, 364.584
2901.76, 2714.48, 422.158, 364.404
2905.98, 2718.13, 422.064, 364.225
2910.2, 2721.77, 421.97, 364.045
2914.42, 2725.41, 421.876, 363.866
2918.64, 2729.05, 421.782, 363.687
2922.86, 2732.69, 421.688, 363.508
2927.08, 2736.32, 421.594, 363.329
2931.29, 2739.96, 421.5, 363.15
2935.51, 2743.59, 421.406, 362.971
2939.72, 2747.22, 421.312, 362.792
2943.94, 2750.84, 421.219, 362.613
2948.15, 2754.47, 421.125, 362.435
2952.36, 2758.09, 421.031, 362.256
2956.57, 2761.72, 420.938, 362.077
2960.78, 2765.34, 420.844, 361.899
2964.99, 2768.96, 420.751, 361.72
2969.19, 2772.57, 420.658, 361.542
2973.4, 2776.19, 420.564, 361.364
2977.61, 2779.8, 420.471, 361.185
2981.81, 2783.42, 420.378, 361.007
2986.02, 2787.03, 420.285, 360.829
2990.22, 2790.63, 420.191, 360.651
2994.42, 2794.24, 420.098, 360.473
2998.62, 2797.84, 420.005, 360.295
3002.82, 2801.45, 419.912, 360.117
3007.02, 2805.05, 419.82, 359.939
3011.22, 2808.65, 419.727, 359.762
3015.42, 2812.25, 419.634, 359.584
3019.61, 2815.84, 419.541, 359.407
3023.81, 2819.44, 419.448, 359.229
3028, 2823.03, 419.356, 359.052
3032.2, 2826.62, 419.263, 358.874
3036.39, 2830.21, 419.171, 358.697
3040.58, 2833.79, 419.078, 358.52
3044.77, 2837.38, 418.986, 358.342
3048.96, 2840.96, 418.893, 358.165
3053.15, 2844.54, 418.801, 357.988
3057.34, 2848.12, 418.709, 357.811
3061.52, 2851.7, 418.616, 357.634
3065.71, 2855.28, 418.524, 357.457
3069.9, 2858.85, 418.432, 357.281
3074.08, 2862.43, 418.34, 357.104
3078.26, 2866, 418.248, 356.927
3082.45, 2869.57, 418.156, 356.751
3086.63, 2873.13, 418.064, 356.574
3090.81, 2876.7, 417.972, 356.398
